IdSerie,NumStagione,NumEpisodi,AnnoStagione,idStagione
80057918,1,13,Anno di uscita: 2016,1
80057918,2,18,Anno di uscita: 2016,2
80057918,3,26,Anno di uscita: 2017,3
80057918,4,10,Anno di uscita: 2019,4
80057918,5,16,Anno di uscita: 2020,5
80057918,6,10,Anno di uscita: 2021,6
70153404,1,24,Anno di uscita: 1994,7
70153404,2,24,Anno di uscita: 1995,8
70153404,3,25,Anno di uscita: 1996,9
70153404,4,24,Anno di uscita: 1997,10
70153404,5,24,Anno di uscita: 1998,11
70153404,6,25,Anno di uscita: 1999,12
70153404,7,24,Anno di uscita: 2000,13
70153404,8,24,Anno di uscita: 2001,14
70153404,9,24,Anno di uscita: 2002,15
70153404,10,17,Anno di uscita: 2003,16
80232926,1,6,Anno di uscita: 2020,17
80232926,2,6,Anno di uscita: 2021,18
80154285,1,10,Anno di uscita: 2016,19
80154285,2,10,Anno di uscita: 2017,20
80154285,3,10,Anno di uscita: 2018,21
81221380,1,8,Anno di uscita: 2021,22
80244953,1,8,Anno di uscita: 2021,23
80241855,1,8,Anno di uscita: 2018,24
80241855,2,8,Anno di uscita: 2020,25
80002479,1,6,Anno di uscita: 2013,26
80002479,2,6,Anno di uscita: 2014,27
80002479,3,6,Anno di uscita: 2016,28
80002479,4,6,Anno di uscita: 2017,29
80002479,5,6,Anno di uscita: 2018,30
70143836,1,7,Anno di uscita: 2008,31
70143836,2,13,Anno di uscita: 2009,32
70143836,3,13,Anno di uscita: 2010,33
70143836,4,13,Anno di uscita: 2011,34
70143836,5,16,Anno di uscita: 2012,35
80174608,1,8,Anno di uscita: 2021,36
80174608,2,18,Anno di uscita: 2019,37
80057281,1,8,Anno di uscita: 2016,38
80057281,2,9,Anno di uscita: 2017,39
80057281,3,8,Anno di uscita: 2019,40
70301870,1,9,Anno di uscita: 2013,41
70301870,2,10,Anno di uscita: 2014,42
70301870,3,10,Anno di uscita: 2015,43
70301870,4,20,Anno di uscita: 2016,44
70301870,5,20,Anno di uscita: 2017,45
70301870,6,20,Anno di uscita: 2019,46
80192098,1,13,Anno di uscita: 2017,47
80192098,2,9,Anno di uscita: 2017,48
80192098,3,8,Anno di uscita: 2019,49
80192098,4,8,Anno di uscita: 2020,50
80192098,5,10,Anno di uscita: 2021,51
80049714,1,10,Anno di uscita: 2015,52
80049714,2,10,Anno di uscita: 2017,53
80049714,3,5,Anno di uscita: 2021,54
70299043,1,25,Anno di uscita: 2013,55
70299043,2,12,Anno di uscita: 2017,56
70299043,3,12,Anno di uscita: 2018,57
70299043,4,10,Anno di uscita: 2019,58
70299043,5,16,Anno di uscita: 2020,59
70281562,1,22,Anno di uscita: 2013,60
70281562,2,23,Anno di uscita: 2014,61
70281562,3,23,Anno di uscita: 2015,62
70281562,4,22,Anno di uscita: 2016,63
70281562,5,22,Anno di uscita: 2017,64
70281562,6,18,Anno di uscita: 2019,65
70281562,7,13,Anno di uscita: 2020,66
80021955,1,10,Anno di uscita: 2015,67
80021955,2,10,Anno di uscita: 2016,68
80021955,3,10,Anno di uscita: 2017,69
80021955,4,10,Anno di uscita: 2018,70
80021955,5,10,Anno di uscita: 2020,71
80021955,6,5,Anno di uscita: 2022,72
80241181,1,22,Anno di uscita: 2018,73
80241181,2,18,Anno di uscita: 2019,74
80025678,1,10,Anno di uscita: 2016,75
80025678,2,10,Anno di uscita: 2017,76
80025678,3,10,Anno di uscita: 2019,77
80025678,4,10,Anno di uscita: 2020,78
80095241,1,4,Anno di uscita: 2017,79
80095241,2,8,Anno di uscita: 2018,80
80095241,3,10,Anno di uscita: 2020,81
80095241,4,10,Anno di uscita: 2021,82
70264888,1,3,Anno di uscita: 2019,83
70264888,2,6,Anno di uscita: 2017,84
70264888,3,6,Anno di uscita: 2016,85
70264888,4,4,Anno di uscita: 2013,86
70264888,5,3,Anno di uscita: 2011,87
70283264,1,13,Anno di uscita: 2014,88
70283264,2,16,Anno di uscita: 2014,89
70283264,3,16,Anno di uscita: 2016,90
70283264,4,13,Anno di uscita: 2017,91
70283264,5,13,Anno di uscita: 2018,92
70283264,6,13,Anno di uscita: 2019,93
70283264,7,16,Anno di uscita: 2020,94
80117552,1,10,Anno di uscita: 2017,95
80117552,2,10,Anno di uscita: 2018,96
80117552,3,10,Anno di uscita: 2020,97
80117552,4,14,Anno di uscita: 2022,98
81002370,1,10,Anno di uscita: 2018,99
81002370,2,10,Anno di uscita: 2019,100
81002370,3,10,Anno di uscita: 2021,101
81002370,4,10,Anno di uscita: 2021,102
70143860,1,22,Anno di uscita: 2009,103
70143860,2,22,Anno di uscita: 2010,104
70143860,3,22,Anno di uscita: 2011,105
70143860,4,23,Anno di uscita: 2012,106
70143860,5,22,Anno di uscita: 2013,107
70143860,6,22,Anno di uscita: 2014,108
70143860,7,22,Anno di uscita: 2015,109
70143860,8,16,Anno di uscita: 2016,110
80074249,1,10,Anno di uscita: 2015,111
80074249,2,10,Anno di uscita: 2017,112
80074249,3,10,Anno di uscita: 2018,113
80074249,4,10,Anno di uscita: 2020,114
80074249,5,10,Anno di uscita: 2022,115
80189685,1,8,Anno di uscita: 2019,116
80189685,2,8,Anno di uscita: 2021,117
80014749,1,11,Anno di uscita: 2013,118
80014749,2,10,Anno di uscita: 2015,119
80014749,3,10,Anno di uscita: 2017,120
80014749,4,10,Anno di uscita: 2019,121
80014749,5,10,Anno di uscita: 2021,122
70155589,1,25,Anno di uscita: 2009,123
70155589,2,23,Anno di uscita: 2010,124
70155589,3,22,Anno di uscita: 2011,125
70155589,4,13,Anno di uscita: 2013,126
70155589,5,13,Anno di uscita: 2014,127
70155589,6,13,Anno di uscita: 2015,128
80176085,1,10,Anno di uscita: 2017,129
80176085,2,10,Anno di uscita: 2018,130
80176085,3,10,Anno di uscita: 2019,131
80176085,4,16,Anno di uscita: 2020,132
80232398,1,8,Anno di uscita: 2020,133
80232398,2,8,Anno di uscita: 2022,134
70195800,1,12,Anno di uscita: 2011,135
70195800,2,16,Anno di uscita: 2012,136
70195800,3,16,Anno di uscita: 2013,137
70195800,4,16,Anno di uscita: 2014,138
70195800,5,16,Anno di uscita: 2015,139
70195800,6,16,Anno di uscita: 2016,140
70195800,7,16,Anno di uscita: 2017,141
70195800,8,16,Anno di uscita: 2018,142
70195800,9,10,Anno di uscita: 2019,143
80135674,1,13,Anno di uscita: 2016,144
80135674,2,25,Anno di uscita: 2017,145
80100172,1,10,Anno di uscita: 2017,146
80100172,2,8,Anno di uscita: 2019,147
80100172,3,8,Anno di uscita: 2020,148
70158329,1,25,Anno di uscita: 1987,149
70158329,2,22,Anno di uscita: 1988,150
70158329,3,26,Anno di uscita: 1989,151
70158329,4,26,Anno di uscita: 1990,152
70158329,5,26,Anno di uscita: 1991,153
70158329,6,26,Anno di uscita: 1992,154
70158329,7,26,Anno di uscita: 1993,155
80177342,1,10,Anno di uscita: 2018,156
80177342,2,13,Anno di uscita: 2019,157
80177342,3,11,Anno di uscita: 2020,158
80177342,4,16,Anno di uscita: 2021,159
70300800,1,12,Anno di uscita: 2014,160
70300800,2,12,Anno di uscita: 2015,161
70300800,3,12,Anno di uscita: 2016,162
70300800,4,12,Anno di uscita: 2017,163
70300800,5,12,Anno di uscita: 2018,164
